"Strategy","Shaping","Threshold","Mean_PnL","SD_PnL","Daily_Skewness","Opportunity_Pct","Num_Active","Mean_Abs_Signal_Active","Mean_PnL_per_Trade"
"ema1","linear",0.2,0.00517743801278954,0.63280622472199,-0.00260839309058635,0.892316999395039,4425,NA,0.00580224070179058
"ema1","linear",0.3,0.00508925200454354,0.564484675372802,-0.00449765867334489,0.851582980439605,4223,NA,0.00597622559567402
"ema1","linear",0.4,0.00480364423320058,0.497542137674757,-0.00588273071744226,0.81084896148417,4021,NA,0.00592421580513347
"ema1","linear",0.5,0.00445172957380147,0.431995676375023,-0.00739810884634857,0.77939100625126,3865,NA,0.0057118051633846
"ema1","linear",0.6,0.00403978934330867,0.367961067333838,-0.00903908722099777,0.749747933051018,3718,NA,0.00538819670615053
"ema1","linear",0.7,0.00340851059979723,0.305711338502009,-0.008956459974337,0.715466827989514,3548,NA,0.00476403722220814
"ema1","linear",0.8,0.00249082606374988,0.24563689229403,-0.0044402350137587,0.673724541238153,3341,NA,0.00369709860824174
"ema1","linear",0.9,0.00168801128747062,0.188260667923406,0.0026418961064474,0.631982254486792,3134,NA,0.00267097893253568
"ema1","linear",1,0.00101613924674487,0.134542618750401,0.0149329624024921,0.572091147408752,2837,NA,0.00177618418209651
"ema1","tanh",0.2,0.00420059872677259,0.636205611092195,0.000305160994451369,0.916313772938092,4544,NA,0.0045842361545038
"ema1","tanh",0.3,0.00418408801578115,0.565197944549321,-0.0012890178111348,0.883645896350071,4382,NA,0.00473502794848441
"ema1","tanh",0.4,0.00408581823441686,0.49523769795679,-0.00305920226491255,0.855414398064126,4242,NA,0.00477641976060189
"ema1","tanh",0.5,0.00386216450506189,0.426407778003706,-0.0047766034873072,0.821738253680177,4075,NA,0.00469999356579189
"ema1","tanh",0.6,0.00349466480421497,0.358761720746319,-0.00627865006318858,0.791086912684009,3923,NA,0.00441754849964365
"ema1","tanh",0.7,0.00312039724460222,0.292389477109728,-0.00886484887823797,0.765476910667473,3796,NA,0.00407640936142846
"ema1","tanh",0.8,0.00265794797173994,0.227579855041192,-0.012178819240083,0.735632183908046,3648,NA,0.00361314802408398
"ema1","tanh",0.9,0.00184021281834843,0.164878229717154,-0.0109497318166861,0.695301472070982,3448,NA,0.00264664018741005
"ema1","tanh",1,0.000989525544982716,0.105215121312958,-0.00392102073819347,0.637426900584795,3161,NA,0.00155237493754169
"ema2","linear",0.2,0.00200700616390987,0.640189879841951,0.00652701798064688,0.896955031256302,4448,NA,0.00223757724074394
"ema2","linear",0.3,0.00193585016093156,0.572253472760418,0.00685048721158404,0.852994555353902,4230,NA,0.00226947540143253
"ema2","linear",0.4,0.00184154575297058,0.505723009041365,0.00739152193411589,0.811857229280097,4026,NA,0.00226831231718359
"ema2","linear",0.5,0.0016116261282118,0.44064123511667,0.00911381736880117,0.778584392014519,3861,NA,0.00206994404812285
"ema2","linear",0.6,0.00134530934114574,0.377163392289347,0.0119368564922373,0.745109901189756,3695,NA,0.00180551800344837
"ema2","linear",0.7,0.00113829298967551,0.315584938628307,0.015694600574617,0.715265174430329,3547,NA,0.00159142794919674
"ema2","linear",0.8,0.000915661577201848,0.25644020455643,0.0219534390882337,0.668884855817705,3317,NA,0.00136893752226227
"ema2","linear",0.9,0.000764377074373135,0.200398991065361,0.0315522558885427,0.620689655172414,3078,NA,0.00123149639760116
"ema2","linear",1,0.000555617655325242,0.148615128508017,0.0501768478277056,0.549304295220811,2724,NA,0.00101149337472756
"ema2","tanh",0.2,0.00166312121757613,0.63947091909769,0.00385050235931493,0.928211332930026,4603,NA,0.00179174845056703
"ema2","tanh",0.3,0.00155163991170533,0.56860965342131,0.0039065200923814,0.889897156684816,4413,NA,0.00174361711356146
"ema2","tanh",0.4,0.00148434970024953,0.498824372167402,0.00359312455883304,0.857430933655979,4252,NA,0.00173115949283571
"ema2","tanh",0.5,0.00142145226593266,0.430160332889941,0.003025909777806,0.823754789272031,4085,NA,0.00172557693678337
"ema2","tanh",0.6,0.00124989025717667,0.362656831404297,0.00309321443481479,0.793910062512603,3937,NA,0.00157434741817097
"ema2","tanh",0.7,0.00100650444284636,0.29646343026654,0.00399698165080537,0.763863682193991,3788,NA,0.00131764929569036
"ema2","tanh",0.8,0.000749857402575803,0.231845115174377,0.0058946012326019,0.733615648316193,3638,NA,0.00102213932363205
"ema2","tanh",0.9,0.000521533110152411,0.169415593073563,0.00943055858682203,0.692679975801573,3435,NA,0.000752920725835752
"ema2","tanh",1,0.000368686154994339,0.110347454653706,0.016448183212757,0.63077233313168,3128,NA,0.000584499566054004
