ticker,event,event_start,event_end,plotted,pre_avg_daily_ret,event_total_ret,post_avg_daily_ret,n_days_pre,n_days_event,n_days_post
AAPL,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.002760218589584893,-0.3131718012011343,-0.003096318025387968,20,42,20
AMZN,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.00010164696159706034,-0.18525024083031705,0.009703950227224995,20,42,20
AUDUSD=X,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0001428567774395895,0.09839499339740598,-0.00021702414221271433,20,43,20
AXISBANK.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0010725287076428923,0.31884898256075567,-0.011559699049279287,20,41,20
BAC,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.004017565411671915,-0.6561529241645843,-0.015960191795886914,20,42,20
BHARTIARTL.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.0031359767492976343,-0.04089358846728208,-0.004577138525430005,20,41,20
BRK-B,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.002233090487429851,-0.00970790603103533,-0.008031532306068926,20,42,20
BTC-USD,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.003772502521329323,-0.13232925905317316,-0.0019370648952560388,20,61,20
BZ=F,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.0009158759333409297,-0.291301037424045,0.013229517522047745,20,42,20
CL=F,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.0015376550771983833,-4.891014203752342e+121,278708954634316.5,20,42,20
CVX,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.0036648398740369444,-0.8627561974264308,-0.0076054013979358764,20,42,20
DIS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0012340621078645593,-0.1883777572996328,-0.019636316386465465,20,42,20
EURUSD=X,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.00013441743902044729,-0.03703035042232683,-0.0002779687755264345,20,43,20
GBPUSD=X,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0006055312709928049,-0.06019418764785711,-0.0006091438864867807,20,43,20
GC=F,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.002180676090838035,-0.12721234630358713,0.001765377159338785,20,42,20
GLD,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.0029720403195837722,-0.14112089172728226,0.0021471183547027797,20,42,20
GOOG,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.004383793862823404,-0.3827128681750992,-0.00871076571760076,20,42,20
HDFCBANK.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0011183642308128035,-0.06689353952148458,-0.021292705041277102,20,41,20
HINDUNILVR.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0005046606396774601,-0.3621017951785923,-0.0012915215987702392,20,41,20
ICICIBANK.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0023891567291402945,0.5139628932253819,-0.033538261499507824,20,41,20
INFY.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,3.7402724826777644e-05,-0.2795529375646496,-0.013245770094115076,20,41,20
ITC.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0011331863561032701,0.06944153400264441,-0.003770655220600219,20,41,20
JNJ,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.0003236148903872801,-0.44587001235604806,-0.004772918187801528,20,42,20
JPM,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.004194221937038714,0.8804505567331393,-0.02054192872661551,20,42,20
KO,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.00257493678749495,-0.1700872972174906,-0.010223532128868739,20,42,20
LT.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0007959771190729261,-0.015677520462672012,-0.010453698292917379,20,41,20
MA,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0015733811268126747,-0.11629116836868447,-0.011884247533592688,20,42,20
MARUTI.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0007962175189168827,-0.17915090611473694,-0.00417944570423279,20,41,20
META,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.002852805179775405,0.37653693909581265,-0.0024648855890442014,20,42,20
MSFT,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.010496970529184746,-0.2585399073082125,0.003066370119917264,20,42,20
NFLX,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0037303894679195553,-0.15463166216672297,-0.0018173939004901738,20,42,20
NG=F,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.007377515450262188,-0.01038435391842929,-0.007538541043473433,20,42,20
NVDA,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0012749363884815355,-0.35109459588521685,0.00671803371265107,20,42,20
NZDUSD=X,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.001466965940622104,0.12240605439931884,0.0004551642686844902,20,43,20
PFE,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.002185091793438485,0.059756461301149866,-0.003953020680962734,20,42,20
PG,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.00014498179998233187,-0.49375520089171476,-0.004529982657593684,20,42,20
RELIANCE.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0007072323384158224,-0.1316179376069584,-0.018384639936900638,20,41,20
SI=F,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0019294194633877088,0.026955869277006883,-0.009413143997793425,20,42,20
SUNPHARMA.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0008742363855859074,0.28689070294353414,-0.007577130854892406,20,41,20
TCS.NS,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0010296318263573086,-0.022980515261371015,-0.008828731368379004,20,41,20
TSLA,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.031913782960368245,-0.7745663223934656,0.01221823916253884,20,42,20
USDCAD=X,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0005574504726490477,0.06418686038438959,-0.0011150375372516697,20,43,20
USDCHF=X,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.00013754062063036396,-0.025237984596113927,-0.0006371313626068651,20,43,20
USDINR=X,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0004569608595185651,-0.03939869196591972,0.0003347013803700298,20,43,20
USDJPY=X,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.0003953675020346156,-0.06268836165923597,-7.331612619880642e-05,20,43,20
V,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.00802599192600029,-0.08659002451830078,-0.008144558959759834,20,42,20
XOM,COVID_Crash_2020,2020-02-01,2020-04-01,True,0.004233598347789276,0.18309924460261384,-0.022256705240664705,20,42,20
ZC=F,COVID_Crash_2020,2020-02-01,2020-04-01,True,-0.001313746377296892,0.022888932907202175,0.0010248787659740452,20,42,20
AAPL,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.00011083812348697004,-0.009134220562640127,0.0007494704641368947,20,43,20
AMZN,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.0024967813879579847,-0.07074836636605264,-0.00199827929980786,20,43,20
AUDUSD=X,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.00039325638947085935,-0.013204846826468275,0.0004945505494809392,20,44,20
AXISBANK.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0018841077197756496,-0.03075549720761872,-0.00037608783368263036,20,43,20
BAC,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.000951225503995105,0.014225995776394385,-0.001638637181234259,20,43,20
BHARTIARTL.NS,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.0016834247772610663,-0.03508093187066197,-0.0020136424346067637,20,43,20
BRK-B,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.0056039409553840305,0.041582117135090524,-0.0015469732392531916,20,43,20
BTC-USD,Crypto_Crash_2021,2021-05-01,2021-07-01,True,-0.004260973862504207,-0.37314229776886443,0.0024637159902903575,20,62,20
BZ=F,Crypto_Crash_2021,2021-05-01,2021-07-01,True,0.0010758851635666133,0.09450242881550763,-0.003125017212415972,20,43,20
CL=F,Crypto_Crash_2021,2021-05-01,2021-07-01,True,13993518258.465658,inf,738321768296.8175,20,43,20
