ticker,status,rows,cagr,sharpe,total_return,max_drawdown
BTC-USD,ok,2876.0,0.26381231875776523,0.6987310989806231,13.470137829504369,-0.7444342582955501
NVDA,ok,1980.0,0.23861223149032695,0.6675675889010206,4.372871262768869,-0.6510421088681144
GLD,ok,1980.0,0.03907391163293883,0.29411074833267353,0.3514297181299506,-0.3817603120824754
JPM,ok,1980.0,0.02954121407092325,0.26167312147555843,0.25702422093361865,-0.7573660923812224
GC=F,ok,1981.0,0.0268831741346518,0.23406550938962237,0.23187930279554037,-0.41406358117266684
USDJPY=X,ok,2051.0,0.011119114292823307,0.16327138558742804,0.09417188738246574,-0.21633152716127468
PFE,ok,1980.0,-0.009339792937328673,0.08751354245390389,-0.07107653915737855,-0.5095739806836935
SUNPHARMA.NS,ok,1945.0,-0.013001948992128143,0.07999573978147743,-0.09607640686966112,-0.4900867712997793
ITC.NS,ok,1945.0,-0.014800989326296365,0.09187148283820339,-0.10871554293808616,-0.6171373055759563
LT.NS,ok,1945.0,-0.017292708984034344,0.13251839604323615,-0.12596689252078375,-0.6659068703350737
BRK-B,ok,1980.0,-0.01983528334362572,0.03596645586049043,-0.1456506158031775,-0.49926475787834734
NZDUSD=X,ok,2052.0,-0.020732016416518007,-0.12416686810969911,-0.15683480935539496,-0.3634891959293315
TSLA,ok,1980.0,-0.02754708732265765,0.3483888582208593,-0.19706255555269703,-0.884634686127844
EURUSD=X,ok,2051.0,-0.0343745608289272,-0.4382904095517916,-0.24775434827894338,-0.25988608602919017
AAPL,ok,1980.0,-0.03479811567893021,0.0730143345916665,-0.24291839475727828,-0.6749203321601563
GBPUSD=X,ok,2051.0,-0.034818332513840144,-0.34376487322183985,-0.2505634234527535,-0.2995546821318018
USDCHF=X,ok,2051.0,-0.03536882350475856,-0.3724898920303837,-0.25403524295214897,-0.30693924174338183
USDINR=X,ok,2051.0,-0.040873619227702385,-0.4234884943470161,-0.28798450247905916,-0.3919521521518815
MSFT,ok,1980.0,-0.0498236645393888,-0.056616583385435584,-0.33072514813558174,-0.7388074054311999
RELIANCE.NS,ok,1945.0,-0.05456685393131988,0.061948902288207534,-0.3514962192369455,-0.7273126710120088
USDCAD=X,ok,2052.0,-0.05918129714211173,-0.668841350851859,-0.39149707093869424,-0.39466654899539777
BHARTIARTL.NS,ok,1945.0,-0.06137715047791359,-0.06299454755906028,-0.38669077695866116,-0.7479176819782101
KO,ok,1980.0,-0.06268277423137225,-0.20641000546669935,-0.3986753768022747,-0.6007515058347349
META,ok,1980.0,-0.06440983775092712,0.07627930037014932,-0.40732611097614924,-0.7838740205589666
TCS.NS,ok,1945.0,-0.07158787543127754,-0.16765336040035103,-0.4363424502426152,-0.556226244688796
INFY.NS,ok,1945.0,-0.07601765028732066,-0.11684664817668951,-0.4567702762633984,-0.6566144535806515
AUDUSD=X,ok,2052.0,-0.07652687358632926,-0.6127985567847442,-0.4770565800090175,-0.5342583617451491
ZC=F,ok,1979.0,-0.08205519361247526,-0.21357085232413706,-0.4895043755747919,-0.6989892571228931
AMZN,ok,1980.0,-0.08516356915470868,-0.11335160002764824,-0.503098885228521,-0.6431675714268494
HINDUNILVR.NS,ok,1945.0,-0.09049901739596156,-0.3400563749356798,-0.5191247518221793,-0.7144502820985192
XOM,ok,1980.0,-0.09405956200479126,-0.005606054428830722,-0.5398220703892596,-0.8261610639443138
GOOG,ok,1980.0,-0.09803858354939476,-0.17204743049669702,-0.5554655739292331,-0.7932371903528151
DIS,ok,1980.0,-0.11298959947246467,-0.053270004500995054,-0.6101761086681288,-0.7399066165242122
SI=F,ok,1981.0,-0.11995377984071587,-0.16411308584556214,-0.6337720991956082,-0.8014032374970421
AXISBANK.NS,ok,1945.0,-0.12046010745583868,0.09835056355526794,-0.6286784820922628,-0.8811687594810983
BZ=F,ok,1983.0,-0.12381194565704845,0.0628880518575096,-0.6465763242264253,-0.8465894181487306
MARUTI.NS,ok,1945.0,-0.13977460776199568,-0.2214007036185172,-0.6871610636927155,-0.8524757654949501
PG,ok,1980.0,-0.14248901272801529,-0.5633725341302481,-0.7011489861436602,-0.8011603189831445
JNJ,ok,1980.0,-0.15023221392269126,-0.6289527606165882,-0.7217071366657375,-0.8118834863585072
ICICIBANK.NS,ok,1945.0,-0.15041338677215432,-0.1107011801153144,-0.7158113386919738,-0.8256225127801169
V,ok,1980.0,-0.16776675941344688,-0.6517382987085133,-0.7637596767029324,-0.786998335958095
NG=F,ok,1983.0,-0.17285911819171906,0.013691096486807663,-0.7753900170320429,-0.9602976195967309
HDFCBANK.NS,ok,1945.0,-0.19933057081401329,-0.34285598759868663,-0.8201842872363402,-0.894490775999044
BAC,ok,1980.0,-0.1998091697310428,-0.14574985985855288,-0.8264686072585485,-0.8744801565751612
NFLX,ok,1980.0,-0.21075970321716964,-0.312905682310265,-0.8442749774547167,-0.8610734151798046
MA,ok,1980.0,-0.21355548672321711,-0.7282247242445409,-0.8485569826221485,-0.8825855233131328
CVX,ok,1980.0,-0.36641524651769064,-0.26679354936591176,-0.9722826724048624,-0.972973369522849
CL=F,ok,1982.0,,0.21679840456333785,-1.0012308391272111,-1.0367672226992763
SUGAR=F,skip,,,,,
CATTLE=F,skip,,,,,
