ticker,status,rows,cagr,sharpe,total_return,max_drawdown
BTC-USD,ok,2876.0,0.2638123187577652,0.6987310989806231,13.470137829504369,-0.7444342582955501
NVDA,ok,1980.0,0.2386122314903269,0.6675675889010206,4.372871262768869,-0.6510421088681144
GLD,ok,1980.0,0.0390739116329388,0.2941107483326735,0.3514297181299506,-0.3817603120824754
JPM,ok,1980.0,0.0295412140709232,0.2616731214755584,0.2570242209336186,-0.7573660923812224
GC=F,ok,1981.0,0.0268831741346518,0.2340655093896223,0.2318793027955403,-0.4140635811726668
USDJPY=X,ok,2051.0,0.0111191142928233,0.163271385587428,0.0941718873824657,-0.2163315271612746
PFE,ok,1980.0,-0.0093397929373286,0.0875135424539038,-0.0710765391573785,-0.5095739806836935
SUNPHARMA.NS,ok,1945.0,-0.0130019489921281,0.0799957397814774,-0.0960764068696611,-0.4900867712997793
ITC.NS,ok,1945.0,-0.0148009893262963,0.0918714828382033,-0.1087155429380861,-0.6171373055759563
LT.NS,ok,1945.0,-0.0172927089840343,0.1325183960432361,-0.1259668925207837,-0.6659068703350737
BRK-B,ok,1980.0,-0.0198352833436257,0.0359664558604904,-0.1456506158031775,-0.4992647578783473
NZDUSD=X,ok,2052.0,-0.020732016416518,-0.1241668681096991,-0.1568348093553949,-0.3634891959293315
TSLA,ok,1980.0,-0.0275470873226576,0.3483888582208593,-0.197062555552697,-0.884634686127844
EURUSD=X,ok,2051.0,-0.0343745608289272,-0.4382904095517916,-0.2477543482789433,-0.2598860860291901
AAPL,ok,1980.0,-0.0347981156789302,0.0730143345916665,-0.2429183947572782,-0.6749203321601563
GBPUSD=X,ok,2051.0,-0.0348183325138401,-0.3437648732218398,-0.2505634234527535,-0.2995546821318018
USDCHF=X,ok,2051.0,-0.0353688235047585,-0.3724898920303837,-0.2540352429521489,-0.3069392417433818
USDINR=X,ok,2051.0,-0.0408736192277023,-0.4234884943470161,-0.2879845024790591,-0.3919521521518815
MSFT,ok,1980.0,-0.0498236645393888,-0.0566165833854355,-0.3307251481355817,-0.7388074054311999
RELIANCE.NS,ok,1945.0,-0.0545668539313198,0.0619489022882075,-0.3514962192369455,-0.7273126710120088
USDCAD=X,ok,2052.0,-0.0591812971421117,-0.668841350851859,-0.3914970709386942,-0.3946665489953977
BHARTIARTL.NS,ok,1945.0,-0.0613771504779135,-0.0629945475590602,-0.3866907769586611,-0.7479176819782101
KO,ok,1980.0,-0.0626827742313722,-0.2064100054666993,-0.3986753768022747,-0.6007515058347349
META,ok,1980.0,-0.0644098377509271,0.0762793003701493,-0.4073261109761492,-0.7838740205589666
TCS.NS,ok,1945.0,-0.0715878754312775,-0.167653360400351,-0.4363424502426152,-0.556226244688796
INFY.NS,ok,1945.0,-0.0760176502873206,-0.1168466481766895,-0.4567702762633984,-0.6566144535806515
AUDUSD=X,ok,2052.0,-0.0765268735863292,-0.6127985567847442,-0.4770565800090175,-0.5342583617451491
ZC=F,ok,1979.0,-0.0820551936124752,-0.213570852324137,-0.4895043755747919,-0.6989892571228931
AMZN,ok,1980.0,-0.0851635691547086,-0.1133516000276482,-0.503098885228521,-0.6431675714268494
HINDUNILVR.NS,ok,1945.0,-0.0904990173959615,-0.3400563749356798,-0.5191247518221793,-0.7144502820985192
XOM,ok,1980.0,-0.0940595620047912,-0.0056060544288307,-0.5398220703892596,-0.8261610639443138
GOOG,ok,1980.0,-0.0980385835493947,-0.172047430496697,-0.5554655739292331,-0.7932371903528151
DIS,ok,1980.0,-0.1129895994724646,-0.053270004500995,-0.6101761086681288,-0.7399066165242122
SI=F,ok,1981.0,-0.1199537798407158,-0.1641130858455621,-0.6337720991956082,-0.8014032374970421
AXISBANK.NS,ok,1945.0,-0.1204601074558386,0.0983505635552679,-0.6286784820922628,-0.8811687594810983
BZ=F,ok,1983.0,-0.1238119456570484,0.0628880518575096,-0.6465763242264253,-0.8465894181487306
MARUTI.NS,ok,1945.0,-0.1397746077619956,-0.2214007036185172,-0.6871610636927155,-0.8524757654949501
PG,ok,1980.0,-0.1424890127280152,-0.5633725341302481,-0.7011489861436602,-0.8011603189831445
JNJ,ok,1980.0,-0.1502322139226912,-0.6289527606165882,-0.7217071366657375,-0.8118834863585072
ICICIBANK.NS,ok,1945.0,-0.1504133867721543,-0.1107011801153144,-0.7158113386919738,-0.8256225127801169
V,ok,1980.0,-0.1677667594134468,-0.6517382987085133,-0.7637596767029324,-0.786998335958095
NG=F,ok,1983.0,-0.172859118191719,0.0136910964868076,-0.7753900170320429,-0.9602976195967308
HDFCBANK.NS,ok,1945.0,-0.1993305708140132,-0.3428559875986866,-0.8201842872363402,-0.894490775999044
BAC,ok,1980.0,-0.1998091697310428,-0.1457498598585528,-0.8264686072585485,-0.8744801565751612
NFLX,ok,1980.0,-0.2107597032171696,-0.312905682310265,-0.8442749774547167,-0.8610734151798046
MA,ok,1980.0,-0.2135554867232171,-0.7282247242445409,-0.8485569826221485,-0.8825855233131328
CVX,ok,1980.0,-0.3664152465176906,-0.2667935493659117,-0.9722826724048624,-0.972973369522849
CL=F,ok,1982.0,,0.2167984045633378,-1.0012308391272111,-1.0367672226992763
SUGAR=F,skip,,,,,
CATTLE=F,skip,,,,,
